Sates,x,y
JAMMU&KASHMIR,-93.0,279.0
HIMACHAL PRADESH,-75,217
PUNJAB,-101,188
UTTARAKHAND,-15,163
HARYANA,-101,155
RAJASTHAN,-191,92
UTTAR PRADESH,-28,96
BIHAR,98,65
GUJRAT,-211,4
MADHYA PRADESH,-102,-2
JHARKHAND,78,17
WEST BENEGAL,135,9
MAHARASHTRA,-140,-70
CHHATTISGAR,9,-38
ODISA,62,-55
TELANGANA,-56,-111
KARNATAKA,-130,-186
ANDHRA PRADESH,-36,-186
KERLA,-102,-290
TAMILNADU,-47,-258
SIKKIM,152,111
ASSAM,241,93
MEGHALAYA,204,67
ARUNACHAL PRADESH,263,139
NAGALAND,277,91
MANIPUR,273,54
TRIPURA,219,28
MIZORAM,256,22
GAO,-150,-171
